,Dynamische Einflussfaktoren,,,,,,,
IoT-HW-ID:,Zeitstempel (DD-MM-YY HH:MM):,Raum betreten:,Personen imRaum:,Fenster geöffnet:,Tür geöffnet:,Heizung an:,Fernseher an:,PC an:
a13d7,12-12-18 16:41,Nein,0,Ja,Nein,Nein,Nein,Nein
a13d7,12-12-18 17:00,Ja,1,Nein,Nein,Ja,Nein,Nein
a13d7,12-12-18 17:01,Nein,0,Nein,Nein,Ja,Nein,Nein
a13d7,12-12-18 22:30,Ja,1,Nein,Nein,Ja,Nein,Nein
a13d7,13-12-18 04:00,Ja,2,Nein,Nein,Ja,Nein,Nein
a13d7,13-12-18 08:30,Nein,1,Nein,Ja,Ja,Nein,Nein
bb706,13-12-18 20:02,Ja,1,Nein,Ja,Ja,Nein,Ja
bb706,13-12-18 23:24,Ja,1,Nein,Ja,Ja,Nein,Nein
bb706,14-12-18 16:20,Nein,0,Ja,Ja,Ja,Nein,Nein
bb706,14-12-18 16:30,Nein,0,Nein,Ja,Ja,Nein,Nein
a02b7,17-12-18 22:15,JA,1,Nein,Ja,Ja,Ja,Ja
a13d7,13-12-18 14:30,Nein,0,Nein,JA,JA,Nein,Nein
a13d7,13-12-18 13:50,JA,1,JA,Nein,Nein,Nein,Nein
a13d7,13-12-18 15:10,Nein,1,Nein,Nein,JA,Nein,Nein
a13d7,13-12-18 15:15,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,14-12-18 00:47,JA,1,JA,Nein,JA,Nein,Nein
a13d7,14-12-18 00:50,Nein,1,Nein,Nein,JA,Nein,Nein
a13d7,14-12-18 03:30,JA,2,Nein,JA,JA,Nein,Nein
a13d7,14-12-18 09:15,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,14-12-18 14:20,Nein,0,Nein,JA,JA,Nein,Nein
a13d7,14-12-18 18:40,JA,1,JA,Nein,JA,Nein,Nein
a13d7,14-12-18 21:46,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,14-12-18 21:52,JA,1,Nein,Nein,JA,Nein,Nein
a13d7,14-12-18 22:56,Nein,1,JA,Nein,JA,Nein,Nein
a13d7,14-12-18 23:00,Nein,1,Nein,Nein,JA,Nein,Nein
a13d7,15-12-18 02:23,JA,2,Nein,JA,JA,Nein,Nein
a13d7,15-12-18 09:30,Nein,1,JA,Nein,JA,Nein,Nein
a13d7,15-12-18 15:00,Nein,0,Nein,JA,JA,Nein,Nein
a13d7,15-12-18 19:00,JA,1,JA,JA,Nein,Nein,Nein
a13d7,15-12-18 19:15,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,15-12-18 23:00,JA,1,Nein,Nein,JA,Nein,Nein
a13d7,16-12-18 03:37,JA,2,Nein,JA,JA,Nein,Nein
a13d7,16-12-18 09:00,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,16-12-18 16:05,Nein,0,Nein,JA,JA,Nein,Nein
a13d7,16-12-18 16:20,JA,1,JA,Nein,Nein,Nein,Nein
a13d7,16-12-18 16:30,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,16-12-18 21:57,JA,1,Nein,Nein,JA,Nein,Nein
a13d7,16-12-18 23:18,Nein,1,JA,Nein,Nein,Nein,Nein
a13d7,16-12-18 23:25,Nein,1,Nein,Nein,JA,Nein,Nein
a13d7,17-12-18 03:35,JA,2,Nein,JA,JA,Nein,Nein
