meta_data_id,IoT-HW-ID:,Raum betreten:,Personen imRaum:,Fenster geöffnet:,Tür geöffnet:,Heizung an:,Fernseher an:,PC an:,timestamp
98,a13d7,Nein,0,Nein,Nein,JA,Nein,Nein,1545583080
99,a13d7,JA,1,Nein,Nein,JA,Nein,Nein,1545610560
100,a13d7,JA,2,Nein,Nein,JA,Nein,Nein,1545618780
101,a13d7,Nein,1,Nein,JA,JA,Nein,Nein,1545647400
102,a13d7,Nein,0,Nein,JA,JA,Nein,Nein,1545648600
103,a13d7,JA,1,JA,Nein,Nein,Nein,Nein,1545649620
104,a13d7,Nein,0,Nein,Nein,JA,Nein,Nein,1545649980
105,a13d7,JA,1,JA,Nein,Nein,Nein,Nein,1545661800
106,a13d7,Nein,0,Nein,Nein,JA,Nein,Nein,1545661980
107,a13d7,JA,1,Nein,Nein,JA,Nein,Nein,1545697800
108,a13d7,JA,2,Nein,JA,JA,Nein,Nein,1545707640
109,a13d7,Nein,1,Nein,JA,JA,Nein,Nein,1545732000
110,a13d7,Nein,0,Nein,JA,JA,Nein,Nein,1545739200
111,a13d7,JA,1,Nein,Nein,JA,Nein,Nein,1545781200
112,a13d7,JA,2,JA,Nein,JA,Nein,Nein,1545791640
113,a13d7,Nein,2,Nein,Nein,JA,Nein,Nein,1545791760
114,a13d7,Nein,1,Nein,JA,JA,Nein,Nein,1545822000
115,a13d7,Nein,0,JA,JA,Nein,Nein,Nein,1545830760
116,a13d7,JA,1,Nein,Nein,Nein,Nein,Nein,1545831900
117,a13d7,Nein,1,JA,Nein,Nein,Nein,Nein,1545832080
118,a13d7,Nein,1,Nein,Nein,JA,Nein,Nein,1545832200
